episode,reward,game_score,lines,moves,epsilon,avg_reward_25,avg_game_score_25,avg_lines_25,avg_moves_25
51,-537.5,100,1,30,0.857932408958235,-595.5840000000001,16,0.16,28.32
52,-712.5,100,1,32,0.8553586117313603,-600.66,20,0.2,28.36
53,-556.9,0,0,26,0.8527925358961662,-602.94,20,0.2,28.44
54,-486.6,0,0,23,0.8502341582884777,-595.84,20,0.2,28.2
55,-667.4000000000001,100,1,30,0.8476834558136123,-597.328,24,0.24,28.32
56,-654.9,0,0,32,0.8451404054461714,-601.056,24,0.24,28.4
57,-521.7,0,0,28,0.8426049842298329,-595.764,24,0.24,28.28
58,-485.5,100,1,27,0.8400771692771434,-589.996,28,0.28,28.12
59,-577.1999999999999,0,0,29,0.837556937769312,-589.5,28,0.28,28.04
60,-463.59999999999997,0,0,25,0.835044266956004,-588.792,28,0.28,28.16
61,-710.0,0,0,31,0.8325391341551359,-589.728,28,0.28,28.28
62,-587.0,0,0,28,0.8300415167526705,-587.3199999999999,28,0.28,28.2
63,-585.5,0,0,32,0.8275513922024125,-587.8439999999999,28,0.28,28.28
64,-534.3,0,0,25,0.8250687380258053,-577.3919999999999,24,0.24,27.92
65,-597.0,0,0,28,0.8225935318117279,-577.12,24,0.24,27.88
66,-512.4000000000001,0,0,24,0.8201257512162927,-574.508,24,0.24,27.64
67,-578.8,0,0,27,0.8176653739626438,-579.408,24,0.24,27.76
68,-501.20000000000005,0,0,25,0.8152123778407558,-572.992,20,0.2,27.52
69,-655.4000000000001,0,0,29,0.8127667407072335,-577.34,20,0.2,27.48
70,-697.8,100,1,30,0.8103284404851119,-583.288,20,0.2,27.52
71,-542.6000000000001,0,0,28,0.8078974551636565,-579.72,20,0.2,27.68
72,-600.8,0,0,34,0.8054737627981655,-579.268,20,0.2,27.92
73,-719.4,0,0,30,0.803057341509771,-587.044,20,0.2,28.2
74,-481.09999999999997,0,0,26,0.8006481694852418,-581.904,20,0.2,28.2
75,-561.5,0,0,26,0.798246224976786,-581.144,20,0.2,28.2
76,-634.0,0,0,32,0.7958514863018556,-585.004,16,0.16,28.28
77,-526.9999999999999,0,0,26,0.79346393184295,-577.584,12,0.12,28.04
78,-636.1,0,0,30,0.7910835400474212,-580.752,12,0.12,28.2
79,-603.1,0,0,27,0.7887102894272789,-585.412,12,0.12,28.36
80,-635.7,0,0,30,0.7863441585589971,-584.144,8,0.08,28.36
